Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
See by Chloé,Messenger & Crossbody Bags,brown,beige,,,1,332
Zadig&Voltaire,Shoulder Bags,calf suede/cotton,song yellow,,,0,505
Diesel,Messenger & Crossbody Bags,embroidered logo,olive green,Conscious,,0,78
Zadig&Voltaire,Clutch Bags,,,,,0,445
Karl Lagerfeld,Bucket Bags,leather,cedar brown,,,0,167
Coccinelle,Tote Bags,,,,Made in Italy,0,281
Acne Studios,Shoulder Bags,leather,brown,,Made in Italy,1,421
Alexander Wang,Messenger & Crossbody Bags,leather ,black ,,,0,418
Coccinelle,Tote Bags,monogram pattern,black/white,,,0,216
SANDRO,Clutch Bags,grained texture,black,Conscious,,0,177
PINKO,Mini Bags,lambskin,black,New Season,,0,348
Karl Lagerfeld,Messenger & Crossbody Bags,stretch-cotton/calf leather,grey/black/multicolour,,,1,195
Kate Spade,Backpacks,calf leather,black,New Season,,0,429
Versace Jeans Couture,Tote Bags,baroque-pattern print,multicolour,,,0,195
Karl Lagerfeld,Tote Bags,calf leather,jet black,,,0,290
Zadig&Voltaire,Clutch Bags,calf leather,silver,,,0,620
Versace Jeans Couture,Shoulder Bags,,,,,0,222
Coach,Tote Bags,calf leather blend,oak/maple,,,0,277
Gucci,Mini Bags,leather,silver-tone ,,Made in Italy,1,1070
Valentino Garavani,Messenger & Crossbody Bags,,,,Made in Italy,0,1595
Marc Jacobs,Tote Bags,logo print to the front,blue,,,1,234
BY FAR,Shoulder Bags,,,,,0,410
Kenzo,Shoulder Bags,leather,black/multicolour,,,1,249
PINKO,Shoulder Bags,,,,,0,447
Dsquared2,Shoulder Bags,calf leather,black,,Made in Italy,0,822
Balenciaga,Tote Bags,leather,black/white,Conscious,Made in Italy,1,985
Michael Michael Kors,Shoulder Bags,leather,luggage brown,,,0,241
Jacquemus,Tote Bags,calf leather,black,,Made in Italy,1,1058
Balenciaga,Messenger & Crossbody Bags,leather,black,Conscious,Made in Italy,0,2350
GANNI,Mini Bags,recycled polyester,phantom grey,Conscious,,0,63
Proenza Schouler,Messenger & Crossbody Bags,suede,light blue,,Made in Italy,0,417
Marc Jacobs,Tote Bags,cotton-blend,brown,,,1,396
Stella McCartney,Tote Bags,two chain-link top handles,rust orange,Conscious,Made in Italy,1,710
Balenciaga,Tote Bags,,,Conscious,,0,1100
PINKO,Tote Bags,calf leather,light pink,,,0,392
Marc Jacobs,Shoulder Bags,leather,orange,,,0,369
Furla,Messenger & Crossbody Bags,calf leather,pacific blue,,,0,201
Tommy Hilfiger,Messenger & Crossbody Bags,faux leather,black,,,0,113
Elisabetta Franchi,Shoulder Bags,monogram jacquard,white/black,New Season,,0,312
Jil Sander,Tote Bags,leather,black,,Made in Italy,0,579
PINKO,Shoulder Bags,sheepskin,black,,,1,364
Jacquemus,Tote Bags,leather,black,,Made in Italy,1,803
Saint Laurent,Messenger & Crossbody Bags,canvas/leather,light beige/brown,,Made in Italy,1,2700
JW Anderson,Tote Bags,calf suede/calf leather,red,,,1,713
JW Anderson,Shoulder Bags,wool blend,olive green,,,0,468
Jacquemus,Tote Bags,calf leather,brown,New Season,,0,788
Furla,Messenger & Crossbody Bags,leather,cornflower blue,,,0,212
Jacquemus,Tote Bags,calf leather,light green,,Made in Italy,1,929
BY FAR,Shoulder Bags,patent leather,brown,New Season,,0,683
PINKO,Shoulder Bags,,,,,0,495
STAUD,Shoulder Bags,calf leather,black,,,0,287
Michael Michael Kors,Backpacks,leather,vanilla,,,0,361
Proenza Schouler,Messenger & Crossbody Bags,lambskin,stone grey,,Made in Italy,0,1074
PINKO,Messenger & Crossbody Bags,,,,,1,307
Jacquemus,Tote Bags,cotton,off-white,,,0,579
Furla,Shoulder Bags,logo print to the front,fluorescent orange,,,1,189
AMI Paris,Backpacks,all-over leopard print,brown,,,1,402
Zac Zac Posen,Messenger & Crossbody Bags,calf leather,teal green,,,0,182
Michael Michael Kors,Backpacks,cotton / PVC,brown,,,0,229
PINKO,Messenger & Crossbody Bags,,,,,0,263
Saint Laurent,Shoulder Bags,lambskin,beige,,Made in Italy,1,3200
Karl Lagerfeld,Shoulder Bags,recycled polyester blend,jet black,Conscious,,0,139
Moschino Kids,Shoulder Bags,cotton,light pink/multicolour,,,0,358
Givenchy,Tote Bags,,,,Made in Italy,1,2235
Karl Lagerfeld,Shoulder Bags,silver-tone hardware,bright green,,,1,128
Balenciaga,Tote Bags,leather,rose pink,Conscious,Made in Italy,0,2000
Gucci,Shoulder Bags,logo patch to the front,blue,New Season,Made in Italy,1,1030
Karl Lagerfeld,Tote Bags,graphic print to the front,navy blue/off-white,Conscious,,0,55
Zac Zac Posen,Backpacks,calf leather,multicolour,,,0,205
Burberry,Tote Bags,calf leather/cotton blend,dark birch brown,New Season,Made in Italy,1,1505
PINKO,Messenger & Crossbody Bags,calf leather,green,,,0,155
Tommy Hilfiger,Backpacks,faux leather,navy blue,,,0,92
EÉRA,Tote Bags,fabric,violet purple/neon yellow,,,0,528
Michael Michael Kors,Tote Bags,calf leather,black,,,0,234
Karl Lagerfeld,Belt Bags,recycled nylon,black,Conscious,,1,111
Fabiana Filippi,Tote Bags,calf leather,black,,Made in Italy,0,663
See by Chloé,Shoulder Bags,,,,,0,484
Alexander McQueen,Phone Cases & Technology,black,,,Made in Italy,1,590
Bimba y Lola,Messenger & Crossbody Bags,calf leather,jet black,,,0,97
Marc Jacobs,Tote Bags,cotton blend,burgundy,,,0,430
Tommy Hilfiger,Backpacks,faux leather,black,,,0,92
Balenciaga,Tote Bags,interwoven design,blue,Conscious,Made in Italy,1,637
Versace Jeans Couture,Messenger & Crossbody Bags,all-over embossed logo print,black,,,0,192
Karl Lagerfeld,Shoulder Bags,artificial leather,orange,,,0,83
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,pink,,,1,172
Balenciaga,Mini Bags,leather,black ,Conscious,Made in Italy,1,1065
LIU JO,Messenger & Crossbody Bags,leather,lilac,,Made in Italy,0,174
PINKO,Messenger & Crossbody Bags,,,,,0,245
Valentino Garavani,Tote Bags,leather,black,,Made in Italy,1,3562
Mulberry,Tote Bags,leather,chocolate brown,,,0,1350
Coccinelle,Tote Bags,,,New Season,,0,348
Tod's,Shoulder Bags,,,,Made in Italy,0,2297
Stella McCartney,Tote Bags,faux leather,black,Conscious,Made in Italy,1,953
Proenza Schouler,Shoulder Bags,lambskin,optical white,,Made in Italy,1,803
Maison Margiela,Shoulder Bags,calf leather,dark pink,New Season,Made in Italy,0,1466
Versace Jeans Couture,Shoulder Bags,all-over graphic print,black/multicolour,,,0,178
Marc Jacobs,Shoulder Bags,cotton blend,brown/black,,,0,510
Calvin Klein,Messenger & Crossbody Bags,faux leather,black/white,,,0,135
Jil Sander,Messenger & Crossbody Bags,,,,Made in Italy,0,1785
Chiara Ferragni,Shoulder Bags,velvet effect,fuchsia pink,,,0,230
Michael Michael Kors,Tote Bags,leather,black,,,0,510
MM6 Maison Margiela,Messenger & Crossbody Bags,contrast stitching,khaki,,,0,326
PINKO,Messenger & Crossbody Bags,,,,,0,239
STAND STUDIO,Tote Bags,circular top handles,ecru,,,0,131
Diesel,Tote Bags,leather,black,,,1,436
Karl Lagerfeld,Tote Bags,logo print to the front,black/white,,,1,128
Moschino,Messenger & Crossbody Bags,calf leather,black/white/multicolour,,Made in Italy,0,415
LIU JO,Tote Bags,,,,,0,173
Karl Lagerfeld,Tote Bags,canvas/calf leather blend,anthracite grey/multicolour,,,1,139
Karl Lagerfeld,Bag Accessories,leather,black/nude ,,,0,111
Jimmy Choo,Tote Bags,leather/recycled cotton,beige/brown,,Made in Italy,0,1143
PINKO,Messenger & Crossbody Bags,,,,,0,392
Bimba y Lola,Tote Bags,logo plaque,jet black,,,0,134
Proenza Schouler White Label,Tote Bags,calf leather,blue,,,1,297
Emporio Armani,Tote Bags,silver-tone logo lettering,navy blue,,,0,201
Michael Michael Kors,Shoulder Bags,monogram pattern,dark-brown/camel-brown,,,0,202
Coccinelle,Shoulder Bags,,,,Made in Italy,0,291
PINKO,Tote Bags,calf leather,lilac purple,,,0,265
Saint Laurent,Messenger & Crossbody Bags,calf leather,light beige,,Made in Italy,0,745
Cult Gaia,Messenger & Crossbody Bags,tortoiseshell effect,tobacco brown,,,0,454
Tory Burch,Tote Bags,leather,clam shell brown,,,1,593
Zac Zac Posen,Messenger & Crossbody Bags,calf leather,oxblood red,,,0,182
Balenciaga,Bucket Bags,calf leather,black,Conscious,Made in Italy,1,2100
3.1 Phillip Lim,Messenger & Crossbody Bags,calf leather,feather grey,,,1,721
PINKO,Messenger & Crossbody Bags,,,,,0,248
Michael Michael Kors,Shoulder Bags,leather,black,,,0,281
Bimba y Lola,Messenger & Crossbody Bags,gold-tone logo lettering,black,,,0,168
GANNI,Messenger & Crossbody Bags,recycled polyester blend,phlox pink,Conscious,,0,162
Alexander Wang,Mini Bags,crystal embellishment,silver,,,1,1158
Versace,Messenger & Crossbody Bags,,,,Made in Italy,0,999
Versace Jeans Couture,Tote Bags,quilted,black,,,1,222
PINKO,Clutch Bags,calf leather,black,,,0,212
BOSS Kidswear,Shoulder Bags,logo patch to the front,rose pink,,,0,228
Michael Michael Kors,Clutch Bags,leather,black,,,0,245
Michael Michael Kors,Shoulder Bags,leather,black,,,0,212
Karl Lagerfeld,Shoulder Bags,leather,jet black,,,0,474
Coach,Tote Bags,calf leather,light brown,,,0,483
Versace Jeans Couture,Messenger & Crossbody Bags,leopard print,black,,,0,208
Saint Laurent,Messenger & Crossbody Bags,leather,black,,,1,2650
Stella McCartney,Tote Bags,faux leather,black,Conscious,Made in Italy,1,899
Proenza Schouler White Label,Messenger & Crossbody Bags,calf leather,bordeaux red,,,1,395
Proenza Schouler White Label,Tote Bags,calf suede,brown,,,1,357
Michael Michael Kors,Tote Bags,calf leather,brown/acorn,,,0,273
Kenzo,Tote Bags,calf leather,black,,,0,318
Valentino Garavani,Tote Bags,lambskin,black,,Made in Italy,1,2798
Kenzo,Tote Bags,multicolour,bright red,,,0,318
Gucci,Tote Bags,leather/canvas,beige/multicolour,New Season,Made in Italy,1,1605
SANDRO,Messenger & Crossbody Bags,calf leather,black,Conscious,,0,201
Balenciaga,Clutch Bags,calf leather,black,Conscious,Made in Italy,1,1200
Versace Jeans Couture,Messenger & Crossbody Bags,grained texture,hot pink,,,0,176
Ferragamo,Tote Bags,calf leather,peonia pink,,Made in Italy,0,1502
Karl Lagerfeld,Messenger & Crossbody Bags,leather,black,,,1,390
Saint Laurent,Tote Bags,,,,Made in Italy,0,2350
BY FAR,Shoulder Bags,calf leather,flamingo pink,,,0,327
Proenza Schouler,Tote Bags,leather,brown,,Made in Italy,1,627
Balenciaga,Tote Bags,leather,white,Conscious,Made in Italy,1,2350
Zadig&Voltaire,Tote Bags,black,calf leather,,Made in Italy,0,508
Karl Lagerfeld,Shoulder Bags,cotton/leather,denim blue,,,0,167
Karl Lagerfeld,Tote Bags,calf leather,rose red,,,0,167
Zac Zac Posen,Clutch Bags,calf leather,cream white,,,0,205
Tory Burch,Shoulder Bags,felted,light grey/cognac brown,,,0,452
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,0,1383
Versace Jeans Couture,Shoulder Bags,faux leather,pink/multicolour,,,0,171
Coach,Shoulder Bags,,,,,0,385
GANNI,Tote Bags,recycled polyamide/recycled cotton/calf leather,bright green,New Season,,0,234
Saint Laurent,Messenger & Crossbody Bags,leather,brown,,Made in Italy,0,1990
Karl Lagerfeld,Messenger & Crossbody Bags,leather,black,,,1,209
Off-White,Mini Bags,signature paperclip detail,black,,Made in Italy,1,789
Gucci,Messenger & Crossbody Bags,calf leather,carrot orange/marshmallow white,,Made in Italy,1,940
Kate Spade,Tote Bags,calf leather,black/off-white,,,0,401
Coach,Tote Bags,calf leather,chalk white/red,,,0,332
Marc Jacobs,Clutch Bags,black,calf leather,,,1,297
SANDRO,Tote Bags,,,,,0,360
Saint Laurent,Messenger & Crossbody Bags,calf leather,light grey,,Made in Italy,0,1990
Marc Jacobs,Shoulder Bags,leather,black and beige ,New Season,,1,659
The Attico,Clutch Bags,satin finish,fuchsia pink,,Made in Italy,1,1475
Balmain,Tote Bags,canvas,khaki/black,,Made in Italy,1,1207
Karl Lagerfeld,Shoulder Bags,padded design,bubblegum pink,Conscious,,1,193
Karl Lagerfeld,Mini Bags,logo-debossed strap,black/blue,Conscious,,0,139
Marc Jacobs,Tote Bags,canvas,sea green,New Season,,1,250
Coccinelle,Shoulder Bags,,,,,0,143
Kenzo,Clutch Bags,calf leather/cotton,black,,,0,249
Chiara Ferragni,Luggage,all-over logo print,bubblegum pink/light blue,,,0,311
Coach,Messenger & Crossbody Bags,leather,light beige,,,1,492
Saint Laurent,Shoulder Bags,matelassé detail,brown,,Made in Italy,0,3200
Yuzefi,Shoulder Bags,calf leather,bubblegum pink,,,0,327
Nanushka,Clutch Bags,wool blend,oat,Conscious,,0,274
Karl Lagerfeld,Shoulder Bags,,,Conscious,,1,165
MCM,Tote Bags,fabric,brown,New Season,,0,721
Michael Michael Kors,Tote Bags,calf leather,luggage brown,,,0,357
Michael Michael Kors,Tote Bags,,,,,0,247
Marc Jacobs,Bucket Bags,leather,black,,,0,528
Marc Jacobs,Shoulder Bags,leather,black/white,,,1,570
Jimmy Choo,Tote Bags,,,,Made in Italy,0,975
Saint Laurent,Shoulder Bags,calf leather,brown,,Made in Italy,0,3200
Burberry,Tote Bags,cotton-linen blend/calf leather,natural beige/malt brown,,Made in Italy,1,1505
Saint Laurent,Shoulder Bags,calf leather,grey,,Made in Italy,1,3150
Versace,Tote Bags,calf leather,black/white,,Made in Italy,1,1592
Themoirè,Clutch Bags,recycled PET,fuchsia pink,Conscious,Made in Italy,0,201
Emporio Armani,Tote Bags,faux leather,brown,,,0,234
Love Moschino,Messenger & Crossbody Bags,quilted finish,black,,,0,96
Michael Michael Kors,Tote Bags,,,,,0,285
Versace Jeans Couture,Messenger & Crossbody Bags,buckle fastening,jet black,,,0,197
BY FAR,Shoulder Bags,,,,,0,460
JW Anderson,Messenger & Crossbody Bags,calf suede/lambskin,neon orange,,,1,305
Love Moschino,Messenger & Crossbody Bags,gold-tone logo plaque,crimson red,,,0,160
Karl Lagerfeld,Tote Bags,recycled leather,black,Conscious,,0,334
Love Moschino,Shoulder Bags,,,,,0,117
AMI Paris,Tote Bags,calf leather,black,,,1,811
Michael Michael Kors,Tote Bags,faux leather,dark brown/acorn,,,0,231
BOSS Kidswear,Shoulder Bags,logo patch to the front,light blue,,,0,228
Furla,Shoulder Bags,leather,black,New Season,Made in Italy,1,330
PINKO,Mini Bags,calf leather,jet black,New Season,,0,192
Jimmy Choo,Clutch Bags,crystal buckle detail,black,New Season,Made in Italy,1,1295
Stella McCartney,Shoulder Bags,faux leather,silver-tone,Conscious,Made in Italy,1,816
Vivienne Westwood,Backpacks,recycled polyester,jet black,Conscious,Made in Italy,0,692
Saint Laurent,Shoulder Bags,calf leather,tan brown,,Made in Italy,0,2950
Philipp Plein,Tote Bags,leather/cotton,fluorescent yellow,,Made in Italy,0,479
Saint Laurent,Shoulder Bags,calf leather,taupe,,Made in Italy,0,2950
Gucci,Messenger & Crossbody Bags,leather/canvas,beige/brown/black,,Made in Italy,1,1275
Michael Michael Kors,Shoulder Bags,calf leather,brown,,,0,399
Saint Laurent,Clutch Bags,calf leather,taupe brown,,Made in Italy,0,1790
Furla,Tote Bags,leather,tan brown,,,0,292
Michael Michael Kors,Tote Bags,canvas/leather,vanilla acorn,,,0,300
Karl Lagerfeld,Bag Accessories,calf leather,blood red/black,,,1,44
Coccinelle,Backpacks,,,,,0,396
Off-White,Tote Bags,calf leather,black,,Made in Italy,0,983
Karl Lagerfeld,Tote Bags,recycled leather,jet black,Conscious,,0,309
Blumarine,Tote Bags,,,,Made in Italy,0,294
Saint Laurent,Clutch Bags,calf leather,peach pink,,Made in Italy,0,775
Karl Lagerfeld,Messenger & Crossbody Bags,calf leather,black,,,1,167
16Arlington,Belt Bags,calf leather,dark pink,,,0,125
Coccinelle,Shoulder Bags,calf leather,black,,,0,291
Saint Laurent,Shoulder Bags,leather ,black,,Made in Italy,1,3050
Karl Lagerfeld,Tote Bags,faux-leather trim,brown/white/black,,,1,222
Michael Michael Kors,Tote Bags,,,,,0,177
Palm Angels,Messenger & Crossbody Bags,calf leather,ruby red/cloud white,,Made in Italy,0,656
Valentino Garavani,Shoulder Bags,leather ,blush-pink,,Made in Italy,1,2035
Jacquemus,Shoulder Bags,calf leather,light beige,,Made in Italy,1,922
Coccinelle,Tote Bags,calf leather,black,,,0,286
Saint Laurent,Shoulder Bags,leather,dark natural,,Made in Italy,1,1550
Jacquemus,Luggage,silver-tone logo lettering,dark beige,,Made in Italy,0,848
Jacquemus,Shoulder Bags,leather,light blue,New Season,Made in Italy,1,899
Karl Lagerfeld,Shoulder Bags,lambskin,tobacco brown,,,0,223
Saint Laurent,Clutch Bags,leather,light olive green,,Made in Italy,1,1790
PINKO,Messenger & Crossbody Bags,,,,,0,414
Gucci,Mini Bags,leather,black,New Season,Made in Italy,1,1125
Karl Lagerfeld,Shoulder Bags,lambskin,pink,,,1,154
Kate Spade,Tote Bags,calf leather,black,,,0,314
Diesel,Shoulder Bags,calf leather,fluorescent green,New Season,,0,659
Zadig&Voltaire,Tote Bags,calf leather,black/white,,Made in Italy,0,465
Jacquemus,Mini Bags,,,,,0,788
Tory Burch,Tote Bags,calf leather,light umber brown,,,1,475
Jacquemus,Tote Bags,calf leather,orange,New Season,Made in Italy,0,699
PINKO,Shoulder Bags,calf leather,dark purple,,,1,273
PINKO,Messenger & Crossbody Bags,,,,,0,278
STAND STUDIO,Tote Bags,faux shearling,electric blue,,,0,153
Coccinelle,Messenger & Crossbody Bags,leather,black,,,0,324
Jacquemus,Mini Bags,calf leather,lilac purple,,Made in Italy,1,540
Furla,Messenger & Crossbody Bags,,,,,0,411
PINKO,Messenger & Crossbody Bags,,,,,0,346
Saint Laurent,Shoulder Bags,calf leather,red,,Made in Italy,1,3200
Saint Laurent,Shoulder Bags,,,,Made in Italy,0,1550
Acne Studios,Tote Bags,logo print to the front,black,,Made in Italy,1,421
Saint Laurent,Shoulder Bags,Padded quilting,Black,,Made in Italy,0,3200
Wandler,Tote Bags,calf leather,light brown,Conscious,Made in Italy,0,958
Furla,Tote Bags,tonal hardware,coral red,,Made in Italy,0,234
Saint Laurent,Messenger & Crossbody Bags,leather,brown,,Made in Italy,1,1690
Balenciaga,Shoulder Bags,leather,sweet pink,Conscious,Made in Italy,1,2550
Love Moschino,Shoulder Bags,,,,,0,105
Saint Laurent,Clutch Bags,leather,opyum red ,,Made in Italy,1,1790
Karl Lagerfeld,Tote Bags,interwoven design,black,,,0,165
Karl Lagerfeld,Shoulder Bags,recycled leather,hot pink,Conscious,,1,165
Saint Laurent,Messenger & Crossbody Bags,Chevron quilting,Steel grey,,Made in Italy,1,1690
Karl Lagerfeld,Clutch Bags,leather,black,,,1,195
Saint Laurent,Messenger & Crossbody Bags,bos taurus,white ,,Made in Italy,1,2850
Vivienne Westwood,Tote Bags,calf leather,red,Conscious,Made in Italy,0,809
Jacquemus,Tote Bags,calf leather,dark red,New Season,Made in Italy,0,640
Off-White,Tote Bags,leather,sand beige,,Made in Italy,1,758
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,white,,Made in Italy,1,1439
Furla,Mini Bags,cotton blend,multicolour,New Season,,0,395
BY FAR,Shoulder Bags,canvas/calf leather,bright green,,,1,376
Off-White,Shoulder Bags,calf leather,light olive green,,Made in Italy,0,890
Saint Laurent,Shoulder Bags,leather,dark beige,,Made in Italy,1,1690
Karl Lagerfeld,Shoulder Bags,leather,black,,,1,195
Saint Laurent,Messenger & Crossbody Bags,leather,grey,,Made in Italy,1,1690
Gucci,Shoulder Bags,classic GG canvas,beige/brown,New Season,Made in Italy,0,2400
Proenza Schouler,Shoulder Bags,lambskin,black,,Made in Italy,1,628
Jacquemus,Shoulder Bags,calf leather,black,,Made in Italy,1,922
3.1 Phillip Lim,Shoulder Bags,calf leather,toffee,,,0,1136
Saint Laurent,Shoulder Bags,calf leather,sage green,,Made in Italy,0,2950
Saint Laurent,Shoulder Bags,leather,deep blue,,Made in Italy,1,2950
Off-White,Shoulder Bags,calf leather,black,,Made in Italy,1,998
Patrizia Pepe,Tote Bags,leather,black,,Made in Italy,0,237
Tod's,Tote Bags,calf suede,brown,,Made in Italy,1,2114
Saint Laurent,Shoulder Bags,calf leather ,beige ,,Made in Italy,1,2950
See by Chloé,Shoulder Bags,calf leather,caramel brown,,,0,291
AMI Paris,Tote Bags,calf leather,bordeaux red,,,1,666
PINKO,Shoulder Bags,polished finish,dark green,,,1,639
Zac Zac Posen,Messenger & Crossbody Bags,gold-tone logo lettering,grape purple,,,0,153
GANNI,Tote Bags,organic cotton-recycled polyester blend,jet black,New Season,,0,231
